address,is_delegated_to_target,delegated_target,eth_balance_eth,eth_balance_wei,usdc_balance,usdc_balance_raw
0x000c6e3201e83805413f79b9f4c2cadc20670000,false,,0.000999585888924839,0x38d1e39d4f4a7,,
0x07c8946f7bc4a8ec67516781fd15b9e5c73cf101,false,,0.084755894916471758,0x12d1d09911ddbce,0,0x0000000000000000000000000000000000000000000000000000000000000000
0x0d33235938979762b2afb330ac8835d8dc98c9e9,false,,0.001669766752612078,0x5eea4de25aeee,0,0x0000000000000000000000000000000000000000000000000000000000000000
0x1668fcd6100a6cc89469306df6c1f7294a16f9ee,false,,0.000087699978649078,0x4fc33e12fdf6,0,0x0000000000000000000000000000000000000000000000000000000000000000
0x1a6e58c47eba7a26da3b3d99ebd4f934ae20a0c6,false,,0.000433559617694916,0x18a51f7006cc4,0.732049,0x00000000000000000000000000000000000000000000000000000000000b2b91
0x42138576848e839827585a3539305774d36b9602,false,,0,0x0,,
0x69420b3b824158e65f6ffa394466364de21ca0e1,false,,0.003323514437281454,0xbceb80170a6ae,,
0x76be2a470423bdc49cdf51a73a072d54a4bb5bb0,false,,0.000936799315846132,0x35403967263f4,0,0x0000000000000000000000000000000000000000000000000000000000000000
0x8b733d5b999b9ecf38360a56a32e804d2204c872,false,,0.026278985147200278,0x5d5c9906c1b316,,
0x9d999edfd4d0b9780e455bed3d1ac251364c3d13,false,,0.000089320661330949,0x513c964a2c05,,
0xa926a8b5547873bc2d433bc9f9c22e1b530efa79,false,,0.002196265724757393,0x7cd7df65b4591,,
0xcaba56f17e11020ea94ff4b22d403f24792f9ead,false,,0.009995495092762974,0x2382d98e5bb95e,,
0xf000715565148ceabe2a5d29d66f8bedc21bf10e,false,,0.00124268433917573,0x46a36fe9ac132,,
